body,title,url
"
El 2020 nos robó mucho. Entre todo lo que perdimos se halla la experiencia viva de la cultura: museos, recitales, teatro, cine, conciertos, toda la gama de lo sentimental y estético. En el shock del futuro que nos alcanzó hubo poco tiempo y capacidad de reacción para compensar todo el mercado cultural que habríamos de echar en falta. Desde siempre hemos sabido que “el cine se ve mejor en el cine” y que “la música en vivo siempre suena mejor”, pero la epidemia nos enseñó que el sabor de la cultura es algo más, es la experiencia compartida.",nan,http://www.eluniversal.com.mx/opinion/angel-gilberto-adame/otra-vez-los-tlaxcaltecas
"
Escribo estas líneas el primer día del año nuevo. No puedo dejar de sentir alivio de que ya se terminó el 2020, maldito año, terrible en muchos sentidos. Pasará a la historia como el año de la Pandemia por Coronavirus Sars-Cov-2, que dejó en México, hasta el 31 de diciembre, 125 mil muertos y más de un millón 400 mil contagiados. Un panorama muy diferente de lo que las autoridades de este país nos dijeron que sería y del diagnóstico de los “expertos” y los “científicos” del Gobierno que pese a sus desatinos, imprecisiones, terquedades, necedades e irresponsabilidades, hoy sabemos que son intocables, inamovibles e incuestionables. Protegidos a ultranza al más alto nivel. A estas alturas sabemos que sus actos no tendrán consecuencias en el corto plazo. Pero veremos en el juicio de la historia y de los nuevos gobiernos, si llega a ganar la oposición.",nan,http://www.eluniversal.com.mx/opinion/amador-narcia/2020-el-ano-que-vivimos-en-peligro-y-el-2021
nan,nan,http://www.eluniversal.com.mx/espectaculos
"
Nos comentan que el apagón del pasado lunes sigue y seguirá siendo, al parecer, una piedra en el pie para el presidente Andrés Manuel López Obrador al inicio de este año. El jueves el Ejecutivo federal comentó que estaba de acuerdo en que se hiciera la investigación luego de que Protección Civil de Tamaulipas informó que presentará una denuncia por un oficio apócrifo que presentó la Comisión Federal de Electricidad (CFE) sobre el incendio en Padilla, Tamaulipas, que derivó en el apagón que afectó a a más de 10 millones de personas. “Pues que se haga la investigación. Qué bien que presentan una denuncia para que una autoridad independiente decida o resuelva”. La pregunta que más de uno se hizo ayer fue, ¿quién es esa autoridad independiente para el presidente? ¿La ONU? ¿No sería más fácil que la CFE dijera de dónde sacó el documento? El escándalo del apagón seguirá vivo la próxima semana.",nan,http://www.eluniversal.com.mx/opinion/periodistas-el-universal/amlo-y-la-cfe-no-salen-del-apagon
"
La Ciudad de México se mantendrá con bajas temperaturas, incluso heladas, en los próximos días debido a la presencia de una tormenta gélida que se ha posicionado en el país desde los estados del norte, por lo que las alcaldías Álvaro Obregón, Magdalena Contreras, Tláhuac, Xochimilco, Tlalpan, Cuajimalpa y Milpa Alta presentarán afectaciones hasta con 1 grado de bajas temperaturas, informaron autoridades de Protección Civil.",Alertan en CDMX por temperaturas bajas hasta marzo,http://www.eluniversal.com.mx/metropoli/cdmx/alertan-en-cdmx-por-temperaturas-bajas-hasta-marzo
La desconfianza crónica es un cáncer que hoy nos corroe el alma a los mexicanos.,nan,http://www.eluniversal.com.mx/opinion/ricardo-homs/la-desconfianza-cronica
"
El 2020 fue un año de extraordinarias dificultades en el contexto de la pandemia. Aunque la atención a la salud se convirtió en la máxima prioridad para todos, no es posible ocultar, pese a la insistencia de las autoridades federales de ir contra la realidad, la terrible crisis de inseguridad en el país. En este marco analizo algunos de los pendientes en materia de seguridad que definirán el año que arranca.",nan,http://www.eluniversal.com.mx/opinion/maria-elena-morera/el-2021-es-ahora-o-nunca-en-materia-de-seguridad
nan,nan,http://www.eluniversal.com.mx/autor-opinion/sergio-garcia-ramirez
nan,nan,http://www.eluniversal.com.mx/autor-opinion/articulistas/mauricio-meschoulam
"
El martes pasado se inició una larguísima sesión en el Senado argentino para debatir si debía despenalizarse el aborto o no. El proyecto ya había sido aprobado en la Cámara de Diputados y faltaba la decisión del Senado. En 2018, durante el gobierno de Macri, la votación en esa Cámara había terminado con 38 votos por el no y 31 por el sí. La madrugada de este miércoles, el resultado de los votos, anunciado por Cristina Kirchner, fue de 38 por el sí, 28 en contra y una abstención.",nan,http://www.eluniversal.com.mx/opinion/leticia-bonifaz-alfonzo/argentina-el-debate-que-termino-en-ley
